segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-2.1,1.1,0.005,23.29999999999965,23.29499999999965,4660,0.04903898197827408,0.0665594654609015,0.16775850663354064,0.8669415712569432,0.4642550583310926,0.03230780999346225,0.55,1.0,0.0
2,2.1,1.1,23.304999999999648,50.90500000000759,27.60000000000794,5521,0.04881696582484447,0.06656622186380655,0.14912925848675357,0.8732522818730721,0.4599344613016512,0.03374838311505858,0.55,1.0,0.0
3,2.1,1.52,50.91000000000759,53.830000000009086,2.920000000001494,585,0.06677615381287559,0.06830422038644483,0.27427679123815407,0.8212609883012616,0.4823853704721216,0.002799840528133165,0.55,1.0,0.0
4,-2.1,1.52,53.83500000000909,79.79999999999991,25.964999999990823,5194,0.04971373300147928,0.06732074165472095,0.15978568275859245,0.8664952732316706,0.4905297494293696,0.03368913175736571,0.55,1.0,0.0
5,-2.1,1.94,79.80499999999991,82.70999999999727,2.904999999997358,582,0.06709749742033885,0.06858340827629428,0.3070094277313614,0.7928066860118327,0.5121301829556758,0.0024021206244692417,0.55,1.0,0.0
6,2.1,1.94,82.71499999999726,108.13499999997414,25.41999999997688,5085,0.050884352288638426,0.06979956831228785,0.17718274817872465,0.8552206220181434,0.5207506840609617,0.03413869936885351,0.55,1.0,0.0
7,2.1,2.36,108.13999999997414,111.02999999997151,2.8899999999973716,579,0.0667505672303175,0.06838273175245892,0.3464325711720919,0.7579851070541602,0.5449750126086246,0.0018998294205906786,0.55,1.0,0.0
8,-2.1,2.36,111.0349999999715,135.92499999994888,24.889999999977377,4979,0.051833523129567634,0.07121367274161162,0.1986040295456776,0.8394544209880753,0.5586783578322853,0.035482737521315755,0.55,1.0,0.0
9,-2.1,2.78,135.92999999994888,138.79999999994627,2.8699999999973898,575,0.0660314554457647,0.06776588268322202,0.39413086010305914,0.7146374971864811,0.580919712748969,0.002366297632356514,0.55,1.0,0.0
10,2.1,2.78,138.80499999994626,163.22999999992405,24.424999999977786,4886,0.05228207163838861,0.07155083354895596,0.22616299843276477,0.817567597900098,0.5954889528729137,0.035974050449035226,0.55,1.0,0.0
11,2.1,3.1999999999999997,163.23499999992404,166.0349999999215,2.7999999999974534,561,0.06403713812185341,0.06605018178412284,0.4521698330741164,0.6596832442671069,0.6197570662012469,0.004542249479462632,0.55,1.0,0.0
12,-2.1,3.1999999999999997,166.0399999999215,189.92499999989977,23.884999999978277,4778,0.052461268096450096,0.07135973330573119,0.2622945337666761,0.7872434088843393,0.6363991560203714,0.034875856105675944,0.55,1.0,0.0
13,-2.1,3.6199999999999997,189.92999999989976,192.7399999998972,2.8099999999974443,563,0.061080492289883444,0.06358603393240925,0.5227586281954937,0.5893857846925896,0.6603589673045085,0.007660798701780158,0.55,1.0,0.0
14,2.1,3.6199999999999997,192.7449999998972,216.66499999987545,23.919999999978245,4785,0.0515060046253717,0.07036932422824631,0.31117484986965976,0.7434490960961408,0.6805263847929386,0.03659973119267245,0.55,1.0,0.0
15,2.1,4.04,216.66999999987544,219.61999999987276,2.949999999997317,591,0.056273096302013936,0.05931157253052393,0.6080603609687756,0.49982404382312423,0.7009090815848056,0.011637354376150221,0.55,1.0,0.0
16,-2.1,4.04,219.62499999987276,244.48499999985015,24.85999999997739,4973,0.04945120633452593,0.06900566234207098,0.37666917240379677,0.6809001273609269,0.72779029565774,0.039210393124268154,0.55,1.0,0.0
17,-2.1,4.46,244.48999999985014,247.69499999984723,3.204999999997085,642,0.05075617916824579,0.052796710648212265,0.7074041448806608,0.38835226961878805,0.7384815047889258,0.016184244579609004,0.55,1.0,0.0
18,2.1,4.46,247.69999999984722,274.10999999982323,26.40999999997601,5283,0.04716649081087894,0.06837299357395249,0.45765986820550697,0.5983115645676519,0.7580683646178562,0.042311605659316846,0.55,1.0,0.0
19,2.1,4.88,274.1149999998232,277.67499999982,3.559999999996762,713,0.046991328326348045,0.04955974311286628,0.8145578885358548,0.25949919875814703,0.7633968992464628,0.02097538115295607,0.55,1.0,0.0
20,-2.1,4.88,277.67999999982,304.6799999997954,26.999999999975444,5401,0.044324410030961665,0.06606597285126031,0.5806725058634576,0.4713065263109633,0.776877155197919,0.0656572476752199,0.55,1.0,0.03406776522866136
21,-2.1,5.25,304.6849999997954,308.444999999792,3.7599999999965803,753,0.04372204200050677,0.0496606694656433,0.9044026723260594,0.14133015147671144,0.7745100895379611,0.02251297631769078,0.55,1.0,0.0
22,2.1,5.25,308.449999999792,341.1099999997623,32.659999999970296,6533,0.047007812299481054,0.07401804226463865,0.7214833530538035,0.31875312788887794,0.7780357315913894,0.09004570961443666,0.55,1.0,0.02326649318842798
23,0.0,2.0,341.1149999997623,371.4349999997347,30.319999999972424,6065,0.0366582429102474,0.05690143488790354,0.3178507575804282,0.690719618157155,0.7594815496736138,0.04804604866496065,0.55,1.0,0.0
