segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-2.1,1.1,0.005,21.814999999999944,21.809999999999945,4363,0.048464584399294554,0.06615099645705613,0.1654356620650917,0.8733154299535597,0.4592582324499958,0.031048272368581688,0.55,1.0,0.0
2,2.1,1.1,21.819999999999943,48.17500000000619,26.35500000000625,5272,0.046852283597793205,0.06617952709824833,0.15059129388873002,0.8761128727626435,0.4560221938824974,0.03350138148012154,0.55,1.0,0.0
3,2.1,1.52,48.180000000006196,50.27500000000727,2.095000000001072,420,0.07024119582525346,0.07871831443498045,0.2746025870902507,0.8232732547806357,0.49239975332538816,0.007673508011208508,0.55,1.0,0.0
4,-2.1,1.52,50.28000000000727,75.5250000000038,25.24499999999653,5050,0.04735541606708613,0.06486598609007703,0.16369306324485847,0.8680542523970289,0.4842815062815859,0.03391798434786696,0.55,1.0,0.0
5,-2.1,1.94,75.5300000000038,77.62500000000189,2.0949999999980946,420,0.07082253088792774,0.0797811940884433,0.3070655077603956,0.7948369866008026,0.5217410688485964,0.007167742794138633,0.55,1.0,0.0
6,2.1,1.94,77.63000000000189,102.52499999997924,24.894999999977358,4980,0.04826570143142472,0.0648154867854841,0.18163512918117952,0.8555115691325267,0.5155427319826327,0.03578883719667784,0.55,1.0,0.0
7,2.1,2.36,102.52999999997924,104.62999999997733,2.09999999999809,421,0.07092759170832919,0.08041250709295274,0.34634796834643067,0.7597682832517675,0.5528627240557725,0.006611387875497504,0.55,1.0,0.0
8,-2.1,2.36,104.63499999997732,129.17999999995502,24.54499999997769,4910,0.04894269450853292,0.0649788881240995,0.20380657512200512,0.8391236510710545,0.5509852558413029,0.03668250470913407,0.55,1.0,0.0
9,-2.1,2.78,129.184999999955,131.2849999999531,2.09999999999809,421,0.07033649539625579,0.08030889084915815,0.3940765446409459,0.7156227507967591,0.5877401019946344,0.0061137202057668484,0.55,1.0,0.0
10,2.1,2.78,131.2899999999531,155.4849999999311,24.194999999977995,4840,0.04967505038273158,0.06558359760586074,0.2344267299138038,0.8146526654899782,0.5867041302343894,0.03857651424828796,0.55,1.0,0.0
11,2.1,3.2,155.4899999999311,157.59499999992917,2.1049999999980855,422,0.0689217738069609,0.07941901689914733,0.45199532068844445,0.6600836766146306,0.6258935767862026,0.007809881192270378,0.55,1.0,0.0
12,-2.1,3.2,157.59999999992917,182.11999999990687,24.5199999999777,4905,0.04947028544209883,0.06574989049812213,0.27230362937214825,0.7805999620882259,0.6257799776802639,0.05152269549429647,0.55,1.0,0.0030581039755351682
13,-2.1,3.62,182.12499999990686,184.24499999990493,2.119999999998072,425,0.06617661916109498,0.07726225795392047,0.5222656354699249,0.5895873329939353,0.6666892127133258,0.010255436510465173,0.55,1.0,0.0
14,2.1,3.62,184.24999999990493,208.1399999998832,23.889999999978272,4779,0.04909742368910536,0.06554019763092331,0.32961515125290036,0.7316511082238263,0.6654495456213352,0.03985016734106215,0.55,1.0,0.0
15,2.1,4.04,208.1449999998832,210.31999999988122,2.174999999998022,436,0.061764159387608306,0.07348956853776377,0.6067216857326262,0.5005572500672774,0.7093379719417384,0.013428203837418854,0.55,1.0,0.0
16,-2.1,4.04,210.32499999988121,234.79499999985896,24.469999999977745,4895,0.04738718712428477,0.06489885977365735,0.39637966004088454,0.666862770695917,0.704489185882313,0.04126109502787254,0.55,1.0,0.0
17,-2.1,4.46,234.79999999985895,237.07999999985688,2.2799999999979264,457,0.05655129559019929,0.06763834361106508,0.7052726759380353,0.390614900059221,0.751858435729366,0.018519572029578258,0.55,1.0,0.0
18,2.1,4.46,237.08499999985688,262.9499999998334,25.864999999976504,5174,0.04489380442448223,0.06349995545548252,0.47586814007176875,0.5832705960238841,0.7414976634379182,0.04499346676307174,0.55,1.0,0.0
19,2.1,4.88,262.9549999998334,265.4349999998311,2.4799999999977445,497,0.05142834985088884,0.06175302414018041,0.8130828676451667,0.26253978455983507,0.7895918045334298,0.02463925721336604,0.55,1.0,0.0
20,-2.1,4.88,265.4399999998311,291.0949999998078,25.654999999976667,5132,0.0429292281068776,0.06262938578331882,0.6042806528715139,0.4516223186112215,0.7666919558053948,0.06582045235346375,0.55,1.0,0.0181215900233827
21,-2.1,5.25,291.0999999998078,293.45999999980563,2.3599999999978536,473,0.047123381887567914,0.054977280232761654,0.9066608796482447,0.14201135775279256,0.8200945279590649,0.028443230984919736,0.55,1.0,0.0
22,2.1,5.25,293.4649999998056,324.8249999997771,31.35999999997148,6273,0.0596184601032066,0.11894166487168535,0.7540783190836424,0.28681239599081154,0.7772280576162359,0.0959576072245156,0.55,1.0,0.022636696955204847
23,0.0,2.0,324.8299999997771,354.58499999975004,29.754999999972938,5952,0.036678296393531505,0.060702005162553904,0.3129295293181652,0.6973186096569459,0.759538355601898,0.043761357877391154,0.55,1.0,0.0
