segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-1.45,1.1,0.005,10.93500000000031,10.930000000000309,2187,0.03465811517575786,0.05783694042624897,0.1526194847592283,0.8747799603188117,0.5135136185881218,0.02800569891127769,0.548010448935548,0.9931412894375857,0.0
2,1.45,1.1,10.94000000000031,29.72499999999837,18.78499999999806,3758,0.06408570808399493,0.11324015391356078,0.18095868490818845,0.8570932448715898,0.5095398231515593,0.03796386755855506,0.5500000000000003,1.0,0.0
3,1.45,1.52,29.72999999999837,31.73499999999797,2.004999999999601,402,0.07208428698009695,0.08280065415591907,0.3461433544924587,0.759066756782573,0.5467423655910144,0.00638619106788693,0.5500000000000003,0.7661691542288557,0.0
4,-1.45,1.52,31.73999999999797,49.82500000000704,18.085000000009067,3618,0.06404202461549917,0.11211230490162351,0.21711778157107806,0.831439145160063,0.5599330282252009,0.03680308373515325,0.5500000000000003,1.0,0.0
5,-1.45,1.94,49.83000000000704,51.875000000008086,2.045000000001046,410,0.0710189771196679,0.08231575064381062,0.4192709047122605,0.6921447352065416,0.6044527970915652,0.009391529079432479,0.5500000000000003,0.7634146341463415,0.0
6,1.45,1.94,51.88000000000809,70.05000000000878,18.17000000000069,3635,0.06425858582004917,0.11611482003736365,0.26834853241258055,0.7885108642011448,0.6142036743565934,0.0418247480381563,0.5500000000000003,1.0,0.0
7,1.45,2.36,70.05500000000877,72.20500000000682,2.1499999999980446,431,0.06827071130968,0.0797520528195091,0.5179490221141051,0.5963258705935836,0.6693439747068861,0.014980035462058276,0.5500000000000003,0.7703016241299304,0.0
8,-1.45,2.36,72.21000000000681,91.21999999998953,19.00999999998271,3803,0.06437053856246265,0.12742779627430395,0.3439336857558591,0.7186547540595314,0.6753266335998276,0.04255405272669811,0.5500000000000003,0.9645017091769655,0.0
9,-1.45,2.78,91.22499999998952,93.67499999998729,2.4499999999977717,491,0.06535078886177507,0.07399397275492683,0.6520114452186763,0.4565388146326885,0.7335494751943448,0.02508892054620973,0.5500000000000003,0.7922606924643585,0.0
10,1.45,2.78,93.67999999998729,112.9049999999698,19.224999999982515,3846,0.06202509168362313,0.12825119418019396,0.46406317854524726,0.6024500791422124,0.7350780337858773,0.051414454247377096,0.5500000000000003,0.9674986999479979,0.0078003120124804995
11,1.45,3.2,112.9099999999698,115.96499999996702,3.0549999999972215,612,0.06741491903765949,0.08919718821000877,0.8142017016953772,0.2683988192230526,0.7791535037649485,0.03910531965011608,0.5500000000000003,0.8366013071895425,0.0
12,-1.45,3.2,115.96999999996702,136.32499999994852,20.3549999999815,4072,0.06367628756520521,0.1260114483575109,0.624882093999716,0.43353218894826917,0.765738107479142,0.08132565685645764,0.5500000000000003,0.9332023575638507,0.036345776031434185
13,0.0,2.0,136.3299999999485,153.96499999993247,17.63499999998396,3528,0.07115868527937798,0.12059608357984052,0.27310213953397733,0.7394815263244634,0.7553558989947325,0.03353262986678311,0.5500000000000003,0.9897959183673469,0.0
