segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-2.1,1.1,0.005,40.360000000002195,40.35500000000219,8072,0.044201532430554684,0.05679003799403618,0.19777308172156124,0.7434777193743677,0.44849076046329134,0.08863435344851428,0.55,1.0,0.7938553022794846
2,2.1,1.1,40.3650000000022,127.27499999995673,86.90999999995454,17383,0.04891007183028382,0.05679122700620724,0.19284344456397307,0.7823112330125623,0.4402144477505037,0.16786534214729187,0.55,1.0,0.5256284876028303
3,2.1,1.52,127.27999999995673,143.68999999994182,16.40999999998509,3283,0.05710559147933655,0.057248521281077915,0.3016774666381698,0.673775366722128,0.46467568320788816,0.05466784636726276,0.55,1.0,1.0
4,-2.1,1.52,143.6949999999418,231.58999999986187,87.89499999992006,17580,0.049372463022549114,0.05720242184992168,0.21855862570520648,0.7524240384681132,0.464724784267647,0.16459263951379652,0.55,1.0,0.6977815699658703
5,-2.1,1.94,231.59499999986187,248.00499999984694,16.409999999985075,3283,0.05741539508935167,0.05755141797068174,0.33650375870502663,0.6409997941632627,0.49155406430989584,0.056225452954612884,0.55,1.0,1.0
6,2.1,1.94,248.00999999984694,336.7949999997662,88.78499999991928,17758,0.049555192545690734,0.057429991545353956,0.24725535749853775,0.7219935293504736,0.49161642974713526,0.15184005298165246,0.55,1.0,0.7944588354544431
7,2.1,2.36,336.7999999997662,353.2099999997513,16.409999999985075,3283,0.057495745656625234,0.0576517165572111,0.3766269272264628,0.6047158776458064,0.5211961637384137,0.05660394225397732,0.55,1.0,1.0
8,-2.1,2.36,353.2149999997513,429.99999999968145,76.78499999993016,15358,0.04822710139112407,0.05753942765948021,0.26085141860939826,0.7064900278262688,0.5212780075348362,0.13165783339175183,0.55,1.0,0.8038807136345878
