x,z,cable_angle_deg,cable_length_m,vertical_efficiency,hold_attitude_deg,cable_tension_n,left_thrust_n,right_thrust_n,cable_support_fraction,drone_power_ratio,residual_fraction,max_thrust_fraction,static_cost,feasible,pred_static_cost,pred_drone_power_ratio,pred_residual_fraction,pred_hold_attitude_rad
-1.734,0.26599999999999996,-26.23990474042906,4.053771757635174,0.8969506568956768,30.75547659483931,1.41093645,0.16389694647123937,0.7016983471545712,0.737172200766305,0.3034319919456727,0.0038722793577697966,0.4768592233466335,0.3150488300189821,1,0.2951948134364617,0.28399979450317225,0.003731672977933087,0.5341426672073499
-1.655181818181818,0.26599999999999996,-25.218172875281798,4.018118608984008,0.9046919597660876,29.88570845896157,1.39926737,0.16181673280517794,0.6807478486060266,0.73738514006235,0.29072861899814156,0.005519317130563811,0.4626217115909117,0.307286570389833,1,0.28915518952222197,0.2782732942885495,0.003627298411399582,0.5294821392929174
-1.5763636363636364,0.26599999999999996,-24.177930875138088,3.983758275320554,0.9122779422059609,29.001501362657763,1.4558153,0.10916817328083517,0.6611907725502133,0.7736176997908569,0.26611965398984244,0.010786188063685635,0.4493311400273281,0.29847821818089937,1,0.28089473168913504,0.2700562808480438,0.003612816947198144,0.5236456361486539
-1.4975454545454545,0.26599999999999996,-23.119376750775523,3.9507283196870913,0.9196887609799506,28.10309005819571,1.44444252,0.10820466519833463,0.6385173585324463,0.7738095538229546,0.2531812918251549,0.008411424796270125,0.43392277168361965,0.2784155662139653,1,0.2706866375937915,0.25965747476227996,0.003676387610661719,0.5163508147081588
-1.4187272727272728,0.26599999999999996,-22.19690591463133,3.933503739717571,0.9258909876094541,36.190755548171616,1.63532408,0.00027757715347545564,0.646786973171764,0.8819757259313946,0.24128577952956987,0.004285178885346904,0.4395426253290955,0.2541413161856106,1,0.25880889976433163,0.24738867587437774,0.0038067412967894843,0.5073522360024603
-1.339909090909091,0.26599999999999996,-21.111144159715657,3.9028666532855696,0.9328834969788259,35.264826667902526,1.62333704,0.0,0.6195228506981884,0.8821228103395696,0.22618925177384744,0.0025256924967152197,0.4210145094788912,0.2337663292639931,1,0.24554234764176286,0.23356283024420854,0.0039931724659707235,0.49644236883949544
-1.261090909090909,0.26599999999999996,-19.83674640710643,3.8599957404617435,0.9406633273256678,25.32568141483462,1.41322588,0.10913941867790322,0.5709492127943886,0.7743525606777603,0.21684087558506465,0.0008581604967768354,0.3880049016611543,0.21941535707539517,1,0.23116862718974662,0.21849203317103782,0.004225531339665328,0.4834523345085695
-1.1822727272727271,0.26599999999999996,-18.708177814325193,3.8326610305946924,0.9471645070745949,24.37374791111231,1.40383079,0.11077951857122884,0.548640431198382,0.77452086688597,0.20560586041751014,0.0018048398134520784,0.3728443297304669,0.21102037985786637,1,0.21596813402003256,0.2024854832281111,0.0044942169307121,0.46825236788148716
-1.1034545454545455,0.26599999999999996,-17.56325217930547,3.806841683313765,0.9533844028464193,23.409505073792655,1.45971024,0.06264327679188483,0.5170647283879236,0.8106392750786098,0.17973867330061705,0.00954629227392371,0.351386155887138,0.20837755012238818,1,0.20021791725320348,0.18584740362748775,0.00479017120861687,0.4507519725035709
-1.0246363636363638,0.26599999999999996,-16.40257086663799,3.7825729398803585,0.9593013048884936,22.433482837269956,1.45096385,0.06594543266278213,0.4932889260121435,0.8107828831519048,0.16856349817853591,0.006035713315148665,0.33522862793893543,0.1866706381239819,1,0.1841895723909177,0.1688749484400569,0.00510487465030196,0.4308997500694516
