segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-2.1,1.1,0.005,22.924999999999724,22.919999999999725,4585,0.04910482747195331,0.06657079610738419,0.16864705810409525,0.8679773090548251,0.46471028124373626,0.03162784471730859,0.55,1.0,0.0
2,2.1,1.1,22.929999999999723,49.88500000000707,26.955000000007345,5392,0.0490370577956142,0.0665757290929672,0.14969725350549357,0.8740202797689375,0.4608730501270713,0.03229164648048846,0.55,1.0,0.0
3,2.1,1.52,49.89000000000707,52.810000000008564,2.920000000001494,585,0.06694084171511563,0.06844581545843757,0.27438524543490334,0.8234504656642262,0.4826399421089382,0.0018212846064719122,0.55,1.0,0.0
4,-2.1,1.52,52.81500000000857,81.4699999999984,28.654999999989826,5732,0.04930548495007369,0.06723399698149465,0.15489926795909617,0.8646106063628605,0.4907214554370385,0.056906800437395176,0.55,1.0,0.034368457780879276
5,-2.1,1.94,81.47499999999839,84.36999999999576,2.894999999997367,580,0.06698661182604637,0.06851979299206722,0.30710949710894386,0.7944718835999066,0.5124336018571974,0.001383636017297369,0.55,1.0,0.0
6,2.1,1.94,84.37499999999575,114.86499999996802,30.48999999997227,6099,0.04941726443181367,0.06978306775676225,0.15885642387655022,0.8602273572121566,0.5231545821605753,0.09546108001856335,0.55,1.0,0.13018527627479914
7,2.1,2.36,114.86999999996802,117.75499999996539,2.884999999997376,578,0.06669268287815637,0.06835539403682415,0.3464898119158532,0.7589133200849604,0.5451342349080913,0.0013577283427654327,0.55,1.0,0.0
8,-2.1,2.36,117.75999999996539,144.34999999994122,26.58999999997583,5319,0.05138527902536877,0.07119195283046,0.19096749401046403,0.8423636710352206,0.5566681050187797,0.054831315347821916,0.55,1.0,0.007144200037601053
9,-2.1,2.78,144.3549999999412,147.2199999999386,2.8649999999973943,574,0.06591491033884606,0.0676872692660947,0.39417033720612377,0.7147290204986468,0.5809410297570051,0.0023966744865969113,0.55,1.0,0.0
10,2.1,2.78,147.2249999999386,171.54999999991648,24.324999999977877,4866,0.052633384787444004,0.07166218960220277,0.22422985045622293,0.8200545513809268,0.595398010539643,0.03979133030767476,0.55,1.0,0.0
11,2.1,3.1999999999999997,171.55499999991648,174.35999999991392,2.804999999997449,562,0.06403299223898343,0.06605009747654962,0.45209829839357873,0.6589156569745493,0.6192463144763912,0.004272925755159989,0.55,1.0,0.0
12,-2.1,3.1999999999999997,174.36499999991392,199.42999999989112,25.064999999977204,5014,0.05232726311305098,0.07165513879815893,0.2530215041310417,0.7919081134549082,0.6361158713864613,0.058288787033981486,0.55,1.0,0.01316314319904268
13,-2.1,3.6199999999999997,199.43499999989112,202.21999999988859,2.784999999997467,558,0.06107974336460893,0.0635157859431375,0.5225902193293425,0.5878170071476443,0.6594960605077284,0.007035807640812666,0.55,1.0,0.0
14,2.1,3.6199999999999997,202.22499999988858,225.6349999998673,23.40999999997871,4683,0.051920146392928676,0.07091658190197014,0.3134059189990586,0.7435234121976155,0.6801667609109868,0.03649520274911655,0.55,1.0,0.0
15,2.1,4.04,225.63999999986729,228.52999999986466,2.8899999999973716,579,0.0554962231336681,0.05861394561507521,0.6078324801240348,0.4974217439892203,0.701116640204565,0.010747137653304087,0.55,1.0,0.0
16,-2.1,4.04,228.53499999986465,252.35999999984298,23.82499999997833,4766,0.05030926381610331,0.06995002967909712,0.3806515553024315,0.6793350820060687,0.7235733949181915,0.03731984894772338,0.55,1.0,0.0
17,-2.1,4.46,252.36499999984298,255.45999999984016,3.094999999997185,620,0.05096965895130615,0.05306654611273145,0.7068638619473823,0.3862883235693808,0.7371055555389863,0.015172242411719607,0.55,1.0,0.0
18,2.1,4.46,255.46499999984016,280.4399999998175,24.974999999977314,4996,0.04800453822521235,0.06887620537582734,0.4574313189215417,0.6001043674883836,0.750856648114476,0.04052430161281472,0.55,1.0,0.0
19,2.1,4.88,280.44499999981747,283.8449999998144,3.3999999999969077,681,0.04670206054045602,0.04943060732208211,0.8134363033486771,0.25792439333190664,0.7610662935772398,0.019756989382882065,0.55,1.0,0.0
20,-2.1,4.88,283.8499999998144,310.24999999979036,26.39999999997599,5281,0.04500286634508329,0.06924654559750518,0.5617129681370823,0.4888267840870519,0.7676934350811528,0.06580909423691383,0.55,1.0,0.03787161522438932
21,-2.1,5.25,310.25499999979036,313.86999999978707,3.614999999996712,724,0.04332109389999252,0.04929991672368476,0.9030183180952035,0.14064909350976862,0.7734607465482183,0.020913862050235286,0.55,1.0,0.0
22,2.1,5.25,313.87499999978706,344.0599999997596,30.184999999972547,6038,0.04787263507863999,0.07694304020277663,0.7361550687450079,0.3056566465673458,0.7758369343493271,0.08458900738370236,0.55,1.0,0.022524014574362372
23,0.0,2.0,344.0649999997596,373.5299999997328,29.4649999999732,5894,0.03706792388364332,0.057463903807505885,0.3057281289697038,0.7029254650627387,0.7595138213354629,0.04761002784597633,0.55,1.0,0.0
