segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-2.1,1.1,0.005,22.564999999999795,22.559999999999796,4513,0.04866011722048783,0.06615541079992265,0.16591180033002267,0.8732825624213092,0.4595112797709707,0.030813702718718333,0.55,1.0,0.0
2,2.1,1.1,22.569999999999794,50.13000000000719,27.5600000000074,5513,0.04693480873531613,0.06618984831023288,0.15158945432264995,0.8757755683611859,0.45594731011555706,0.033102553425141214,0.55,1.0,0.0
3,2.1,1.52,50.135000000007196,53.15500000000874,3.020000000001545,605,0.06831797599012895,0.07399637406916795,0.274196270248743,0.8243325863879676,0.4812095250136175,0.0015981724156113992,0.55,1.0,0.0
4,-2.1,1.52,53.16000000000874,79.27500000000039,26.114999999991646,5224,0.0474394343471394,0.06479888253114549,0.16428531237196398,0.8679296744373366,0.48491126797276846,0.03318763986312015,0.55,1.0,0.0
5,-2.1,1.94,79.28000000000038,82.30999999999763,3.0299999999972442,607,0.06874258505470009,0.07463652993613781,0.30664675010311265,0.7957817702923218,0.5108672287670193,0.0014907709050653748,0.55,1.0,0.0
6,2.1,1.94,82.31499999999762,107.9599999999743,25.644999999976676,5130,0.04841965531084488,0.06479502098025935,0.18276093615812472,0.8552446503632786,0.515987191265962,0.03487754364117284,0.55,1.0,0.0
7,2.1,2.36,107.9649999999743,110.99999999997154,3.0349999999972397,608,0.06871141630933085,0.07486529490131923,0.3458590642306294,0.7604584672977945,0.5436763648350456,0.002236928438739472,0.55,1.0,0.0
8,-2.1,2.36,111.00499999997153,135.94499999994886,24.93999999997733,4989,0.0492615954773184,0.06439600000776446,0.20715243008908155,0.8376936980626922,0.5507323479565692,0.03406571627069212,0.55,1.0,0.0
9,-2.1,2.78,135.94999999994886,138.9799999999461,3.0299999999972442,607,0.06801690483316006,0.07451824072562895,0.3934480276683961,0.7161141104873872,0.5790983493356021,0.00338048749745917,0.55,1.0,0.0
10,2.1,2.78,138.9849999999461,163.75999999992356,24.774999999977467,4956,0.04974201751164455,0.06513639901204268,0.2369908946816175,0.8133731784878241,0.5861926247999614,0.03647869076708645,0.55,1.0,0.0
11,2.1,3.2,163.76499999992356,166.77999999992082,3.014999999997258,604,0.06646850464410997,0.07338141814492657,0.451255023679817,0.6601584635603657,0.6178265903293652,0.005181969746366277,0.55,1.0,0.0
12,-2.1,3.2,166.7849999999208,191.7549999998981,24.96999999997729,4995,0.04957794738339621,0.06536421279868862,0.27459299580335755,0.7801112754743093,0.6260017764553157,0.042467655318828755,0.55,1.0,0.0
13,-2.1,3.62,191.7599999998981,194.78999999989534,3.0299999999972442,607,0.06363784128417845,0.07105678730507797,0.5214302146145005,0.589189995851436,0.6584615549325712,0.007898231127440324,0.55,1.0,0.0
14,2.1,3.62,194.79499999989534,219.48499999987288,24.689999999977545,4939,0.049088945843398554,0.06519315688930087,0.3285439696232839,0.732532072766906,0.6653612912588249,0.036165347202256844,0.55,1.0,0.0
15,2.1,4.04,219.48999999987288,222.61999999987003,3.1299999999971533,627,0.05910445730252251,0.06697697080026983,0.6061428494319793,0.49918839561661454,0.6994854750487823,0.011539835214729424,0.55,1.0,0.0
16,-2.1,4.04,222.62499999987003,247.70499999984722,25.07999999997719,5017,0.04736643769881407,0.06456251750654915,0.3973595657917888,0.666064270228534,0.7041338328948694,0.03789456002204808,0.55,1.0,0.0
17,-2.1,4.46,247.7099999998472,251.0199999998442,3.3099999999969896,663,0.05409522339002436,0.0611357199159033,0.7047492057815318,0.38811122387666375,0.7359850421814859,0.015921316392763826,0.55,1.0,0.0
18,2.1,4.46,251.0249999998442,277.36999999982027,26.344999999976068,5270,0.04491012915934229,0.06312880216267318,0.4774188197269653,0.5821716192078783,0.7369270265015417,0.042086869086871176,0.55,1.0,0.0
19,2.1,4.88,277.37499999982026,280.939999999817,3.5649999999967577,714,0.04940866355685387,0.05690492126079295,0.8111495964434582,0.2602970000738754,0.7602301544820252,0.020706192523435547,0.55,1.0,0.0
20,-2.1,4.88,280.944999999817,307.2249999997931,26.2799999999761,5257,0.042755123330048474,0.06095371059091653,0.6027398362005506,0.4522202732859084,0.7606794960995211,0.06315882170457783,0.55,1.0,0.02016359140194027
21,-2.1,5.25,307.2299999997931,310.7349999997899,3.504999999996812,702,0.04530456516749861,0.05112828367993917,0.9037874040512172,0.1405672246117402,0.7791910872972766,0.02332372984452811,0.55,1.0,0.0
22,2.1,5.25,310.7399999997899,342.9549999997606,32.2149999999707,6444,0.059546435289918896,0.11980121720981518,0.753773764836143,0.28710514937215026,0.776726027214679,0.09070818159215181,0.55,1.0,0.021880819366852888
23,0.0,2.0,342.9599999997606,373.6199999997327,30.659999999972115,6133,0.036727612063203095,0.06093600197655476,0.31429635268158274,0.6960811115026161,0.759435335829914,0.04344920789112661,0.55,1.0,0.0
