segment,active_target_x_m,active_target_z_m,start_t_s,end_t_s,duration_s,sample_count,rms_error_m,max_error_m,mean_drone_power_ratio,mean_cable_support_fraction,max_thrust_fraction,max_allocation_residual_N,mean_contact_force_N,contact_valid_fraction,allocation_residual_active_fraction
1,-2.1,1.1,0.005,14.590000000000881,14.58500000000088,2918,0.04385009719374397,0.057363705078015144,0.14364971439712493,0.8756424198043838,0.4714642117560077,0.03249534378572117,0.55,1.0,0.0
2,2.1,1.1,14.595000000000882,38.955000000001476,24.360000000000596,4873,0.046779623090361246,0.0657647326193355,0.13911591316220293,0.8772290123705494,0.4672077665804506,0.033572856415615415,0.1888040921488801,0.34188384978452696,0.0
3,2.1,1.52,38.96000000000148,41.71500000000289,2.7550000000014094,552,0.06195529676569777,0.06568712694353324,0.27552560803804244,0.8207928355451823,0.48189342849436484,0.008329914264875239,0.5500000000000003,1.0,0.0
4,-2.1,1.52,41.72000000000289,65.36500000001304,23.64500000001015,4730,0.04898782971543783,0.0672309865153524,0.15136408075847058,0.8716617063238926,0.4957550788684209,0.03484594874032867,0.5500000000000003,1.0,0.0
5,-2.1,1.94,65.37000000001304,68.11000000001054,2.739999999997508,549,0.061410240740409974,0.06549090149566367,0.3084410589834158,0.7927293716717442,0.5114361778870434,0.008368473744699987,0.5500000000000003,1.0,0.0
6,2.1,1.94,68.11500000001054,90.88999999998983,22.774999999979286,4556,0.05046720237884237,0.0696078969180466,0.1684849394170826,0.8618313360066875,0.5274555514969681,0.0349823695793743,0.5500000000000003,1.0,0.0
7,2.1,2.36,90.89499999998982,93.63499999998733,2.739999999997508,549,0.06117328224853661,0.06533487066648477,0.3480941784916861,0.7576495387895764,0.5441079226781763,0.008516571868488315,0.5500000000000003,1.0,0.0
8,-2.1,2.36,93.63999999998732,115.86499999996711,22.224999999979786,4446,0.05170340711184583,0.07150669059204101,0.18945889128500262,0.847558333007841,0.5604579265153958,0.03620210600527373,0.5500000000000003,1.0,0.0
9,-2.1,2.78,115.8699999999671,118.63999999996459,2.7699999999974807,555,0.05865074586559762,0.06339021299804666,0.3963600485059138,0.7133065021555003,0.579858869448852,0.00927912733850796,0.5500000000000003,1.0,0.0
10,2.1,2.78,118.64499999996458,140.7499999999445,22.10499999997991,4422,0.05243032725673795,0.07206623109999506,0.21536040955892025,0.8273928609316101,0.5980896668237944,0.04084162710691816,0.5500000000000003,1.0,0.0
11,2.1,3.1999999999999997,140.7549999999445,143.54999999994195,2.794999999997458,560,0.05652975024532849,0.061101357987335375,0.4549038334366656,0.6571275834922883,0.6181578161416794,0.010120368307735947,0.5500000000000003,1.0,0.0
12,-2.1,3.1999999999999997,143.55499999994194,165.18499999992227,21.629999999980328,4327,0.052786937812292774,0.07184799207273329,0.2529647197590408,0.7969604480678706,0.6379349382598607,0.03715709824135298,0.5500000000000003,1.0,0.0
13,-2.1,3.6199999999999997,165.18999999992226,168.04499999991967,2.8549999999974034,572,0.05426806898328994,0.05838924034070129,0.52560442657054,0.5872069115672879,0.6583205827698181,0.011237075213165413,0.5500000000000003,1.0,0.0
14,2.1,3.6199999999999997,168.04999999991966,189.58999999990007,21.53999999998041,4309,0.05259546760495899,0.07115958162291748,0.3041593297508148,0.7527860441597015,0.6803461091516247,0.03549989960721308,0.5500000000000003,1.0,0.0
15,2.1,4.04,189.59499999990007,192.57999999989735,2.984999999997285,598,0.04777855564854608,0.051918889712191996,0.6102529525848529,0.4972036136400716,0.6988474102991292,0.012611279336162509,0.5500000000000003,1.0,0.0
16,-2.1,4.04,192.58499999989735,214.8349999998771,22.249999999979764,4451,0.05110339278065177,0.07022877404245786,0.368555296919975,0.6920838150547538,0.7268649543517268,0.042277309497678495,0.5500000000000003,1.0,0.0
17,-2.1,4.46,214.8399999998771,218.0499999998742,3.2099999999970805,643,0.04395076151720187,0.0499782426069681,0.707724842866013,0.38520942086113,0.7447282116933873,0.015231523153055366,0.5500000000000003,1.0,0.0
18,2.1,4.46,218.05499999987418,241.61499999985276,23.559999999978572,4713,0.04896604297558413,0.06878547439357391,0.4475145377303086,0.6105619494185499,0.75256629845644,0.05198611143529492,0.5500000000000003,1.0,0.009335879482283047
19,2.1,4.88,241.61999999985275,244.99999999984968,3.379999999996926,677,0.04106483460335139,0.04865683278955384,0.8138018928847643,0.25854029262885186,0.7749126641975517,0.019129508498849264,0.5500000000000003,1.0,0.0
20,-2.1,4.88,245.00499999984967,268.1899999998286,23.184999999978942,4638,0.047025381583333165,0.06712174283820989,0.5756593978775004,0.48153000630056453,0.773915042385895,0.06145750129952353,0.5500000000000003,1.0,0.020051746442432083
21,-2.1,5.25,268.1949999998286,271.4849999998256,3.2899999999970078,659,0.03730006789558991,0.0478918691200995,0.9049859983961916,0.13965282300194318,0.7985714229994781,0.021571061677551535,0.5500000000000003,1.0,0.0
22,2.1,5.25,271.4899999998256,298.9649999998006,27.47499999997501,5496,0.08248517812844432,0.1836650405193579,0.7488740490841876,0.29467595790195134,0.7918421634001268,0.10147754005448165,0.12955507301516012,0.16812227074235808,0.041302765647743815
23,0.0,2.0,298.9699999998006,326.059999999776,27.089999999975362,5419,0.03686153168869977,0.05853380909672994,0.2998659234229643,0.7110281348548363,0.7552055219650472,0.04937241264126254,0.550000000146091,1.0,0.0
