t,x,z,measured_x,measured_z,ref_x,ref_z,error_x,error_z,error_norm,measured_error_norm,cable_support_fraction,drone_support_fraction,total_support_fraction,left_thrust_fraction,right_thrust_fraction,cable_tension_fraction,allocation_residual_fraction,left_thrust_n,right_thrust_n,cable_tension_n,measured_tension_n,measured_cable_length_m,measured_line_length_m,cable_angle_deg,attitude_deg,angular_velocity_deg_s,desired_attitude_torque_nm,net_attitude_torque_nm,cable_torque_nm,left_torque_nm,right_torque_nm,desired_cable_tension_n,drone_power_index,no_cable_power_index,drone_power_ratio,instant_power_saving_fraction,spool_power_in_w,spool_power_abs_w,spool_velocity_cmd,cable_stretch,reference_speed_scale,cumulative_drone_power_saving_fraction,cumulative_spool_work_in_j,cumulative_spool_work_abs_j
0.005,2.4081105313302215e-10,1.9999849407706334,2.4080245931105857e-10,2.000023168045179,6.632209680451032e-09,2.0000000062043255,-6.39139862731801e-09,-1.5065433692118546e-05,1.5065435047870242e-05,2.316184173555397e-05,0.9385950257907615,1.3886167474416633e-06,0.9385964144075088,1.984151446383921e-06,0.0,0.06713887543859541,1.974438165075559e-06,2.91967885335394e-06,0.0,1.6113330105262897,1.6113330105262897,1.879806947361675,1.885976831954821,1.2880586812683859e-08,-9.206599733166805e-08,-1.841319946633361e-05,-0.0,-7.24331304029921e-07,0.0,-7.24331304029921e-07,0.0,1.6123601635564242,4.988875046455068e-09,2.1558276142798234,2.3141344945252744e-09,0.9999999976858656,0.0009179156380266963,0.0009179156380266963,-0.0005696622808756887,0.006193052638325147,1.0,0.9999999976858656,4.589578190133481e-06,4.589578190133481e-06
0.01,1.4420731015815426e-09,1.999956723454883,1.4420078849188909e-09,2.0000051839804547,5.299752988424428e-08,2.0000000495783348,-5.155545678266273e-08,-4.3326123451814524e-05,4.332615412573561e-05,5.134660952856757e-06,0.9463427329642323,5.538660986324433e-06,0.9463482716252187,7.914021085932502e-06,0.0,0.06769307861734775,7.881971417859475e-06,1.1645482027949678e-05,0.0,1.624633886816346,1.624633886816346,1.8798001274988418,1.8859948160195452,7.710687161937067e-08,-5.508964414313921e-07,-9.176608881994482e-05,2.897325216119684e-09,-2.885527531323875e-06,3.392392028265746e-10,-2.8890804800918416e-06,0.0,1.6152662509991813,3.974076329066764e-08,2.1558276142798234,1.843410995732303e-08,0.9999999815658901,0.0022159560524260048,0.0022159560524260048,-0.0013639725666244854,0.0062149317305248974,0.9999982450341284,0.9999999896258778,1.5669358452263506e-05,1.5669358452263506e-05
0.015,4.795288633268415e-09,1.9999168719682316,4.795030301296783e-09,1.9999746221793462,1.786628596698177e-07,2.0000001671362235,-1.738675710365493e-07,-8.329516799188141e-05,8.329534945438433e-05,2.5545548572842063e-05,0.9525495834163058,1.2410871977193726e-05,0.952561994288283,1.773351055805982e-05,0.0,0.06813706238874763,1.7679129889174196e-05,2.6094860786185025e-05,0.0,1.635289497329943,1.635289497329943,1.8797989398942991,1.886025377820654,2.562991788621517e-07,-1.830278567955824e-06,-0.00025587642530488635,1.4439435341415184e-08,-6.45570881085969e-06,2.0433313643107873e-09,-6.473768346139856e-06,0.0,1.6181641238840274,1.3330071423798701e-07,2.1558276142798234,6.1832733450034e-08,0.9999999381672665,0.0003884154471640759,0.0003884154471640759,-0.0002375209085597812,0.0062443366508178055,0.999991282527953,0.9999999724730073,1.7611435688083885e-05,1.7611435688083885e-05
0.02,1.19569523823879e-08,1.999867727934735,1.1956245070647546e-08,1.9999311681941487,4.230111044110804e-07,2.0000003957200656,-4.110541520286925e-07,-0.00013266778533060908,0.00013266842212841936,6.922874627398928e-05,0.9620879335502592,2.1967182157385097e-05,0.9621099007324165,3.138822667621279e-05,0.0,0.06881935249676698,3.132205144960628e-05,4.618777555404712e-05,0.0,1.6516644599224075,1.6516644599224075,1.879796159667754,1.8860688318058518,6.388053563632223e-07,-4.559548165395658e-06,-0.0005458539194879669,4.026227058485395e-08,-1.140702227687224e-05,6.857070492263662e-09,-1.145853820836254e-05,0.0,1.6210474186478705,3.138994610872936e-07,2.1558276142798234,1.4560508410230887e-07,0.9999998543949159,0.0009184002750428864,0.0009184002750428864,-0.0005560453090369404,0.006286968364014545,0.9999757837893046,0.9999999429534845,2.2203437063298318e-05,2.2203437063298318e-05
0.025,2.5041798172630214e-08,1.9998110557812447,2.5040205135229343e-08,1.9998793096578062,8.252365203425977e-07,2.0000007719954542,-8.001947221699674e-07,-0.00018971621420948992,0.00018971790175303555,0.00012146497347406452,0.9692701309488362,3.417080975018508e-05,0.9693043017585864,4.8825614072439776e-05,0.0,0.06933310405443395,4.87664216837197e-05,7.184689110759513e-05,0.0,1.6639944973064147,1.6639944973064147,1.8798007844244895,1.8861206903421959,1.3372767126934728e-06,-9.540063194153576e-06,-0.0009961030057515836,8.589035969234291e-08,-1.771172404816966e-05,1.7210754737606887e-08,-1.7824204284207078e-05,0.0,1.623906088617618,6.089925372777596e-07,2.1558276142798234,2.824866576733223e-07,0.9999997175133424,0.0,0.0015391139518927557,0.0009249513471253608,0.006331487640776068,0.9999485412982703,0.9999998978654561,2.2203437063298318e-05,2.9899006822762095e-05
0.030000000000000002,4.6616078340899226e-08,1.9997492657892162,4.661305298677271e-08,1.9998189293790078,1.424338289606751e-06,2.000001332445497,-1.3777222112658518e-06,-0.0002520666562808582,0.0002520704213649506,0.000182408269526059,0.9790831709155573,4.898591141763238e-05,0.9791321568269749,6.999445931667033e-05,0.0,0.07003504306955348,6.996732137299945e-05,0.00010299684688448039,0.0,1.6808410336692834,1.6808410336692834,1.879804950143031,1.8861810706209992,2.4882441961312155e-06,-1.7741648205820537e-05,-0.0016403170023333925,1.5673725588502156e-07,-2.5341840513464113e-05,3.6377392061140176e-08,-2.5552070676919028e-05,0.0,1.6267329193438151,1.04528783063061e-06,2.1558276142798234,4.848661477878876e-07,0.9999995151338522,0.0,0.001400382131809152,0.0008331437082732991,0.006383994075726207,0.9999064661174513,0.9999998340768554,2.2203437063298318e-05,3.6900917481807856e-05
0.035,7.969099079712258e-08,1.9996840379727812,7.968575801586634e-08,1.9997545547498718,2.2591124416024135e-06,2.000002113363252,-2.1794214508052907e-06,-0.0003180753904707956,0.00031808285697441994,0.00024756820668120875,0.9859159894143767,6.637793978478002e-05,0.9859823673541616,9.484540231272361e-05,0.0,0.0705238031177972,9.48788266193661e-05,0.0001395650095031728,0.0,1.6925712748271329,1.6925712748271329,1.8798171449606138,1.8862454452501494,4.251701417265748e-06,-3.029907729185409e-05,-0.0025114858172067107,2.5810461793887803e-07,-3.426970119240432e-05,6.812754791407968e-08,-3.462411806499001e-05,0.0,1.6295178415478486,1.6487880238243662e-06,2.1558276142798234,7.648051323320491e-07,0.9999992351948677,0.0,0.004128119588463201,0.0024389635165495867,0.006433589250177452,0.9998465855017254,0.9999997485222858,2.2203437063298318e-05,5.754151542412386e-05
0.04,1.2771597493486054e-07,1.9996175768830338,1.277078492494993e-07,1.9996859353164076,3.3681422335502273e-06,2.0000031508427347,-3.2404262586153666e-06,-0.00038557395970095776,0.0003855875759951471,0.0003172320768112791,0.9948850499955485,8.63126446775892e-05,0.9949713626402261,0.00012332950983941844,0.0,0.07116537123249426,0.0001234544481121364,0.00018147937372870425,0.0,1.7079689095798622,1.7079689095798622,1.879828985345953,1.8863140646836467,6.810680904682194e-06,-4.850844217443621e-05,-0.0036418729765164246,3.9518342270849525e-07,-4.4466731958154106e-05,1.1741403682056381e-07,-4.502248296124864e-05,0.0,1.632254341183579,2.4447863258960276e-06,2.1558276142798234,1.134036093471571e-06,0.9999988659639065,0.0,0.004044602007397958,0.002368077067862363,0.006486976681286949,0.9997660409224522,0.9999996382024884,2.2203437063298318e-05,7.776452546111365e-05
0.045,1.9457233210077375e-07,1.9995512556192443,1.9456036652907107e-07,1.999617361766317,4.789787099784108e-06,2.0000044807685775,-4.595214767683334e-06,-0.000453225149333214,0.0004532484439982947,0.00038714627470740537,1.000461378901954,0.00010875752179010673,1.0005701364237443,0.0001554003462425514,0.0,0.07156425300958091,0.00015564587052296886,0.00022867160949591438,0.0,1.717542072229942,1.717542072229942,1.8798485856249876,1.8863826382338087,1.0370847317278822e-05,-7.382367070575903e-05,-0.005063045706264564,5.730503505411118e-07,-5.5905542025565396e-05,1.8904486715765732e-07,-5.673021363651923e-05,0.0,1.6349336092071587,3.4579473205377233e-06,2.1558276142798234,1.6039999198604229e-06,0.9999983960000801,0.0,0.006732860773849151,0.0039200558069053025,0.006533837492032735,0.9996620857500209,0.9999995001799985,2.2203437063298318e-05,0.00011142882933035941
0.049999999999999996,2.8456636705655074e-07,1.9994869018500714,2.8455014039540977e-07,1.9995482287047197,6.562170278473348e-06,2.000006138804454,-6.277603911416797e-06,-0.000519236954382718,0.000519274901287853,0.00045795312855505195,1.0078887250316924,0.00013367911334702598,1.0080224041450394,0.00019101011725752333,0.0,0.07209554036242442,0.00019140501141381492,0.00028107138754444557,0.0,1.730292968698186,1.730292968698186,1.8798671868573882,1.8864517712955482,1.5160066569530191e-05,-0.00010785273972406635,-0.0068058138036614655,7.966725186433734e-07,-6.855633595439438e-05,2.8985825745779834e-07,-6.972986238938496e-05,0.0,1.6375508451951701,4.7122134705609115e-06,2.1558276142798234,2.1858025378968322e-06,0.9999978141974621,0.0,0.006437116326395255,0.003720246480131237,0.006581557523493098,0.9995320841140968,0.9999993315817449,2.2203437063298318e-05,0.0001436144109623357
0.05499999999999999,4.0242330000140383e-07,1.999425459747546,4.024019965859684e-07,1.9994824223634093,8.723165218191956e-06,2.000008160380365,-8.320741918190552e-06,-0.0005827006328191775,0.0005827600382952996,0.0005258038584617748,1.0117111921381094,0.00016104699538700657,1.0118722391334964,0.0002301153682236962,0.0,0.07236896621263167,0.00023068049503055296,0.00033861476434116896,0.0,1.73685518910316,1.73685518910316,1.8798926766373334,1.886517577637126,2.1428015114229525e-05,-0.00015235430784976995,-0.008900313625140724,1.0708978624609507e-06,-8.239262219237723e-05,4.2510494374647404e-07,-8.400556572763942e-05,0.0,1.6400992516844273,6.231015556938252e-06,2.1558276142798234,2.890312525762774e-06,0.9999971096874742,0.0,0.008854411313393398,0.005097955989045609,0.006620421512863128,0.9993735079619621,0.9999991295913566,2.2203437063298318e-05,0.0001878864675293027
